Time,Year,Quarter,Catch
257,2016,1,150.3
258,2016,2,167.1
259,2016,3,191.9
260,2016,4,167.4
261,2017,1,172.8
262,2017,2,177.4
263,2017,3,205.6
264,2017,4,163
265,2018,1,168.9
266,2018,2,185.3
267,2018,3,167.8
268,2018,4,185
269,2019,1,196.5
270,2019,2,180.4
271,2019,3,164.7
272,2019,4,163.5
273,2020,1,184.3
274,2020,2,202.5
275,2020,3,156.7
276,2020,4,192.7
277,2021,1,181
278,2021,2,175.4
279,2021,3,181.1
280,2021,4,214.4
