"","YrQtr","Index"
"160",1991.75,31523189.6952827
"161",1992,30901703.2217354
"162",1992.25,41958351.8095095
"163",1992.5,49798737.0274657
"164",1992.75,36942463.0558483
"165",1993,30465800.936003
"166",1993.25,34812093.1837366
"167",1993.5,38644248.9648401
"168",1993.75,34983373.3394845
"169",1994,37278007.6339138
"170",1994.25,29281496.5102732
"171",1994.5,33542097.6445481
"172",1994.75,35820813.998993
"173",1995,38157374.0870553
"174",1995.25,40633146.7868295
"175",1995.5,33087726.1285269
"176",1995.75,27846767.2422936
"177",1996,26384943.1484244
"178",1996.25,40753262.9632168
"179",1996.5,57335065.7650095
"180",1996.75,43734485.7811071
"181",1997,49662769.138439
"182",1997.25,41945845.1196587
"183",1997.5,38332832.736721
"184",1997.75,28080966.1157722
"185",1998,25972024.246677
"186",1998.25,29880362.9994654
"187",1998.5,34332074.0348338
"188",1998.75,27336629.1910225
"189",1999,19025253.2492696
"190",1999.25,21927195.4456035
"191",1999.5,23993907.2757582
"192",1999.75,31526756.8297388
"193",2000,34656364.6882592
"194",2000.25,33631832.968469
"195",2000.5,41052994.8994908
"196",2000.75,28958191.7969468
"197",2001,24575005.2177441
"198",2001.25,33718302.7624991
"199",2001.5,26738298.4407192
"200",2001.75,21028044.6931985
"201",2002,22587840.5856292
"202",2002.25,25097352.1797878
"203",2002.5,23876272.3161727
"204",2002.75,24793470.2969894
"205",2003,26297810.9493415
"206",2003.25,30775687.299861
"207",2003.5,27959208.2493135
"208",2003.75,20947362.9473277
"209",2004,20174126.7078551
"210",2004.25,29729941.7973095
"211",2004.5,35163887.2633773
"212",2004.75,27042281.5026673
"213",2005,18822274.0834881
"214",2005.25,24254812.3092541
"215",2005.5,25163127.0680349
"216",2005.75,20411958.4170285
"217",2006,26599803.913034
"218",2006.25,29162301.5122295
"219",2006.5,24383005.175692
"220",2006.75,17623231.6245931
"221",2007,18268092.3997375
"222",2007.25,25490075.0382343
"223",2007.5,28571755.7853083
"224",2007.75,24870304.8041811
"225",2008,21595509.2681069
"226",2008.25,27474707.7506824
"227",2008.5,29959885.029097
"228",2008.75,18203603.9825828
"229",2009,21661457.0693586
"230",2009.25,25755591.5594309
"231",2009.5,24949302.1734608
"232",2009.75,21168707.6514338
"233",2010,18011569.4370035
"234",2010.25,24320767.7828822
"235",2010.5,27603962.1612323
"236",2010.75,21974777.3501074
"237",2011,24380917.1636381
"238",2011.25,25689005.7617016
"239",2011.5,21740542.149702
"240",2011.75,16992544.713018
"241",2012,19324069.1955133
"242",2012.25,20740242.8705519
"243",2012.5,21465318.5926313
"244",2012.75,17103255.7357405
"245",2013,18615800.2056596
"246",2013.25,22692554.1174797
"247",2013.5,17847939.2843941
"248",2013.75,18320659.7604025
"249",2014,23723190.2364912
"250",2014.25,26957803.8899499
"251",2014.5,29197828.0056067
"252",2014.75,21440900.7408204
"253",2015,25063600.5508325
"254",2015.25,28261112.6343839
"255",2015.5,25498923.1890306
"256",2015.75,26209559.7575502
"257",2016,24939175.6563009
"258",2016.25,24930082.0097729
"259",2016.5,29182771.2780724
"260",2016.75,24928351.4146158
"261",2017,26794439.4565911
"262",2017.25,30074052.4188274
"263",2017.5,31158167.1825083
"264",2017.75,28994538.8774675
"265",2018,25671250.8428433
"266",2018.25,27604113.8551023
"267",2018.5,24718028.3975671
"268",2018.75,22897139.2923201
"269",2019,32086526.5730571
"270",2019.25,33559491.9051938
"271",2019.5,31308811.9773455
"272",2019.75,28087661.670613
"273",2020,21724722.2464027
"274",2020.25,28649953.4296442
"275",2020.5,28136624.40744
"276",2020.75,25282506.9144187
"277",2021,33900119.1960411
"278",2021.25,28779897.1194339
"279",2021.5,23950403.3244831
"280",2021.75,23199442.8901356
